course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Financial aid available,343931,18784,computer vision|tensorflow|machine learning,4.8
Google Advanced Data Analytics Capstone,Financial aid available,11511,156,executive summaries|machine learning|python programming|technical interview preparation|data analysis,4.9
Excel Basics for Data Analysis,Financial aid available,222648,6194,data science|spreadsheet|microsoft excel|data analysis|pivot table,4.8
"Decisions, Decisions: Dashboards and Reports",Financial aid available,10598,223,presenting data insights|tableau software|data visualization (dataviz)|effective communication|dashboarding and reporting,4.8
Introduction to Data Engineering,Financial aid available,93254,1929,data science|information engineering|database (dbms)|nosql|sql,4.7
Machine Learning with Python,Financial aid available,357303,14416,scipy and scikit-learn|machine learning|regression|classification|hierarchical clustering,4.7
Data Visualization with Python,Financial aid available,227526,11103,dashboards and charts|dash|python programming|matplotlib|data visualization (dataviz),4.5
Data Science with R - Capstone Project,Financial aid available,7207,40,data science|r programming|data visualization (dataviz)|linear regression|exploratory data analysis,4.5
Data Engineering Capstone Project,Financial aid available,6643,58,relational databases|python programming|nosql|data pipelines|sql,4.6
Data Visualization with R,Financial aid available,13699,174,data science|data analysis|data visualization (dataviz)|r programming,4.6
Data Analysis with R,Financial aid available,15663,232,data science|statistical analysis|r programming|data analysis|data visualization (dataviz),4.7
Career Support Community and Resources,Financial aid available,0,0,professional development|research technology trends|establish business partnerships|virtual coaching,0.0
Microsoft Azure for Data Engineering,Financial aid available,26504,416,microsoft azure|data security|information engineering|cloud data solutions,4.5
IBM Data Analyst Capstone Project,Financial aid available,39073,893,python programming|data analysis|sql and rdbms|data visualization (dataviz)|dashboard,4.6
Applied Data Science Capstone,Financial aid available,137842,6713,methodology|github|jupyter notebook|data science methodology|k-means clustering,4.7
Supporting Clients,Financial aid available,0,0,occupational guidance|onboarding preparation|resume preparation|networking,0.0
Google Data Analytics Capstone: Complete a Case Study,Financial aid available,349070,11546,job portfolio|data cleansing|data analysis|data visualization (dataviz)|case study,4.8
Share Data Through the Art of Visualization,Financial aid available,391675,7189,data analysis|tableau software|data visualization (dataviz)|presentation,4.6
Data Analysis with R Programming,Financial aid available,409499,8073,r programming|data analysis|data visualization (dataviz)|r markdown|rstudio,4.8
GST - Genesis and imposition!,Financial aid available,3482,32,gst technical|concept of supply|problem solving|gst law|interpretation,4.6
Analyze Data to Answer Questions,Financial aid available,424983,8936,spreadsheet|data analysis|sql|data calculations|data aggregation,4.6
Prepare Data for Exploration,Financial aid available,591390,16249,spreadsheet|metadata|data collection|data ethics|sql,4.8
Practical Guide to Navigating Professional Relationships,Financial aid available,4498,23,empathy|proactivity|creative problem solving|coachability|communication,4.6
Boosting Productivity through the Tech Stack,Financial aid available,3564,17,prospecting|video prospecting|sales development|sales engagement|customer relationship management software,4.1
