course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating,category
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Financial aid available,343931,18784,computer vision|tensorflow|machine learning,4.8,Data Science and Analytics
Google Advanced Data Analytics Capstone,Financial aid available,11511,156,executive summaries|machine learning|python programming|technical interview preparation|data analysis,4.9,Data Science and Analytics
Excel Basics for Data Analysis,Financial aid available,222648,6194,data science|spreadsheet|microsoft excel|data analysis|pivot table,4.8,Data Science and Analytics
"Decisions, Decisions: Dashboards and Reports",Financial aid available,10598,223,presenting data insights|tableau software|data visualization (dataviz)|effective communication|dashboarding and reporting,4.8,Data Science and Analytics
Introduction to Data Engineering,Financial aid available,93254,1929,data science|information engineering|database (dbms)|nosql|sql,4.7,Data Science and Analytics
Machine Learning with Python,Financial aid available,357303,14416,scipy and scikit-learn|machine learning|regression|classification|hierarchical clustering,4.7,Data Science and Analytics
Data Visualization with Python,Financial aid available,227526,11103,dashboards and charts|dash|python programming|matplotlib|data visualization (dataviz),4.5,others
Data Science with R - Capstone Project,Financial aid available,7207,40,data science|r programming|data visualization (dataviz)|linear regression|exploratory data analysis,4.5,Data Science and Analytics
Data Engineering Capstone Project,Financial aid available,6643,58,relational databases|python programming|nosql|data pipelines|sql,4.6,Database Management
Data Visualization with R,Financial aid available,13699,174,data science|data analysis|data visualization (dataviz)|r programming,4.6,Data Science and Analytics
Data Analysis with R,Financial aid available,15663,232,data science|statistical analysis|r programming|data analysis|data visualization (dataviz),4.7,Data Science and Analytics
Career Support Community and Resources,Financial aid available,0,0,professional development|research technology trends|establish business partnerships|virtual coaching,0.0,others
Microsoft Azure for Data Engineering,Financial aid available,26504,416,microsoft azure|data security|information engineering|cloud data solutions,4.5,Cloud Computing
IBM Data Analyst Capstone Project,Financial aid available,39073,893,python programming|data analysis|sql and rdbms|data visualization (dataviz)|dashboard,4.6,Data Science and Analytics
Applied Data Science Capstone,Financial aid available,137842,6713,methodology|github|jupyter notebook|data science methodology|k-means clustering,4.7,others
Supporting Clients,Financial aid available,0,0,occupational guidance|onboarding preparation|resume preparation|networking,0.0,others
Google Data Analytics Capstone: Complete a Case Study,Financial aid available,349070,11546,job portfolio|data cleansing|data analysis|data visualization (dataviz)|case study,4.8,others
Share Data Through the Art of Visualization,Financial aid available,391675,7189,data analysis|tableau software|data visualization (dataviz)|presentation,4.6,Data Science and Analytics
Data Analysis with R Programming,Financial aid available,409499,8073,r programming|data analysis|data visualization (dataviz)|r markdown|rstudio,4.8,Data Science and Analytics
GST - Genesis and imposition!,Financial aid available,3482,32,gst technical|concept of supply|problem solving|gst law|interpretation,4.6,others
Analyze Data to Answer Questions,Financial aid available,424983,8936,spreadsheet|data analysis|sql|data calculations|data aggregation,4.6,Database Management
Prepare Data for Exploration,Financial aid available,591390,16249,spreadsheet|metadata|data collection|data ethics|sql,4.8,Database Management
Practical Guide to Navigating Professional Relationships,Financial aid available,4498,23,empathy|proactivity|creative problem solving|coachability|communication,4.6,Coaching and Leadership
Boosting Productivity through the Tech Stack,Financial aid available,3564,17,prospecting|video prospecting|sales development|sales engagement|customer relationship management software,4.1,others
Groundwork for Success in Sales Development,Financial aid available,32703,305,sales|sales development|teamwork|time management,4.5,Coaching and Leadership
Ask Questions to Make Data-Driven Decisions,Financial aid available,790067,26959,spreadsheet|questioning|decision-making|problem solving|data analysis,4.7,others
Foundations for Interviewing with Confidence,Financial aid available,8249,55,personal advertisement|audience|interviewing|personal branding|resume writing,4.5,others
"Foundations: Data, Data, Everywhere",Financial aid available,2020669,88486,spreadsheet|data cleansing|data analysis|data visualization (dataviz)|sql,4.8,Database Management
"Client Intake, Assessments, Skill Analysis and Planning",Financial aid available,0,19,case management|outreach|intake|gap analysis|recruitment,4.6,Project Management
Conversational Selling Playbook for SDRs,Financial aid available,5690,26,sales development|cold emailing|sales|objection handling|cold calling,4.7,others
Process Data from Dirty to Clean,Financial aid available,493380,12328,spreadsheet|data cleansing|sample size determination|sql|data integrity,4.8,Database Management
Basics of Statutory Compliance and Taxation,Financial aid available,2228,10,financial accounting|tds|export and import|interstate transactions,5.0,Accounting and Finance
Fundamentals of Accounting and Reporting,Financial aid available,7248,54,bookkeeping|financial accounting|unary language|accounting|banking,4.6,Accounting and Finance
Foundations of Career Navigating and Coaching,Financial aid available,5142,59,crisis intervention|establishing trust|establish coaching agreements|human-centered coaching,4.7,Coaching and Leadership
Principles of Accounts Payable and Receivable Management ,Financial aid available,3183,19,gst|stock management|financial accounting|cost and profit|basic computer skills,4.5,Accounting and Finance
GST - Claiming refunds and other concepts,Financial aid available,0,0,decision-making|refunds|problem solving|gst law|interpretation,0.0,others
GST - Undertaking compliances,Financial aid available,0,0,gst compliances|registration and reconciliation|gst payments|return filing,0.0,others
"GST - Maintaining documents, accounts and records",Financial aid available,0,0,data collection|gst compliances|e-invoicing & e-way bill|gst reconciliation,0.0,others
GST - Using input tax credit,Financial aid available,0,0,credit reconciliation|credit distribution|problem solving|input tax credit|interpretation,0.0,others
SQL for Data Science with R,Financial aid available,11700,91,data science|select (sql)|relational databases (rdbms)|r programming|data analysis,4.2,Data Science and Analytics
"GST - Audit, assessment and litigation",Financial aid available,0,0,decision-making|gst law|gst technical|assessments & tax dispute resolution,0.0,others
Introduction to R Programming for Data Science,Financial aid available,29438,350,data science|r programming,4.5,Data Science and Analytics
"GST - when, where, who and how much?",Financial aid available,0,0,place of supply|time of supply|gst technical|decision-making|problem solving,0.0,others
Introduction to Data Analytics,Financial aid available,370590,12482,data science|spreadsheet|microsoft excel|data analysis|data visualization (dataviz),4.8,Data Science and Analytics
Data Visualization and Dashboards with Excel and Cognos,Financial aid available,94923,2931,microsoft excel|data analysis|data visualization (dataviz)|ibm cognos analytics|dashboard,4.7,others
Introduction to Big Data with Spark and Hadoop,Financial aid available,31022,244,apache hadoop|sparksql|sparkml|big data|apache spark,4.3,Database Management
Introduction to NoSQL Databases,Financial aid available,24898,189,mongodb|nosql|cloud database|cloudant|cassandra,4.6,Database Management
Getting Started with Data Warehousing and BI Analytics,Financial aid available,15073,111,data warehousing|cube and rollup|business intelligence (bi)|star and snowflake schema|cognos analytics,4.3,Database Management
Machine Learning with Apache Spark,Financial aid available,0,0,machine learning|sparkml|data engineer|apache spark|machine learning pipelines,0.0,Data Science and Analytics
"ETL and Data Pipelines with Shell, Airflow and Kafka",Financial aid available,28582,227,apache airflow|apache kafka|data pipelines|extract transform and load (etl)|data engineer,4.5,Network Administration
Hands-on Introduction to Linux Commands and Shell Scripting,Financial aid available,60903,825,linux|bash (unix shell)|extract transform and load (etl)|linux commands|shell script,4.6,Networking and Systems
Relational Database Administration (DBA),Financial aid available,14728,111,database (dbms)|database servers|relational database|database security|database administration,4.5,Networking and Systems
Introduction to Relational Databases (RDBMS),Financial aid available,34146,403,database (db) design|database architecture|postgresql|mysql|relational database management system (rdbms),4.7,others
Excel Basics for Data Analysis,Financial aid available,222648,6194,data science|spreadsheet|microsoft excel|data analysis|pivot table,4.8,Data Science and Analytics
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6,Database Management
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6,Database Management
Python Project for Data Science,Financial aid available,150936,3456,data science|python programming|data analysis|pandas|jupyter notebooks,4.5,Data Science and Analytics
Introduction to Data Engineering,Financial aid available,93254,1929,data science|information engineering|database (dbms)|nosql|sql,4.7,Data Science and Analytics
Data Analysis with Python,Financial aid available,354014,16980,predictive modelling|python programming|data analysis|data visualization (dataviz)|model selection,4.7,others
Python Project for Data Engineering,Financial aid available,28473,425,information engineering|python programming|extract transform and load (etl)|data engineer|web scraping,4.6,Web Development and Design
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6,Data Science and Analytics
Data Science Methodology,Financial aid available,255049,19313,data science|methodology|crisp-dm|data analysis|data mining,4.6,Data Science and Analytics
Tools for Data Science,Financial aid available,397900,27089,data science|github|python programming|jupyter notebooks|rstudio,4.5,Data Science and Analytics
What is Data Science? ,Financial aid available,831025,64613,data science|deep learning|machine learning|big data|data mining,4.7,Data Science and Analytics
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6,Database Management
Python Project for Data Science,Financial aid available,150936,3456,data science|python programming|data analysis|pandas|jupyter notebooks,4.5,Data Science and Analytics
Data Visualization with Python,Financial aid available,227526,11103,dashboards and charts|dash|python programming|matplotlib|data visualization (dataviz),4.5,others
Data Analysis with Python,Financial aid available,354014,16980,predictive modelling|python programming|data analysis|data visualization (dataviz)|model selection,4.7,others
Data Visualization and Dashboards with Excel and Cognos,Financial aid available,94923,2931,microsoft excel|data analysis|data visualization (dataviz)|ibm cognos analytics|dashboard,4.7,others
The Path to Insights: Data Models and Pipelines,Financial aid available,13094,160,"data management|google dataflow/google bigquery|extraction, transformation and loading (etl)|database optimization|data transformation",4.7,Data Science and Analytics
Foundations of Business Intelligence,Financial aid available,38237,447,stakeholder management|sharing insights with stakeholders|asking effective questions|cross-functional team dynamics|business processes and requirements,4.8,Project Management
Azure Data Lake Storage Gen2 and Data Streaming Solution,Financial aid available,3810,23,upload|data streaming|microsoft azure|big data|complex event processing (cep),4.1,Cloud Computing
Microsoft Azure Databricks for Data Engineering,Financial aid available,10811,72,microsoft azure|information engineering|data processing|data management,4.4,Data Science and Analytics
Introduction to Data Analytics,Financial aid available,370590,12482,data science|spreadsheet|microsoft excel|data analysis|data visualization (dataviz),4.8,Data Science and Analytics
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6,Data Science and Analytics
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6,Data Science and Analytics
Data Engineering with MS Azure Synapse Apache Spark Pools,Financial aid available,4390,26,data management|information engineering|microsoft azure|apache spark|sql,3.8,Cloud Computing
Operational Analytics with Microsoft Azure Synapse Analytics,Financial aid available,3377,17,microsoft azure|analytics|apache spark,4.5,Cloud Computing
Prepare for DP-203: Data Engineering on Microsoft Azure Exam,Financial aid available,4794,41,test preparation|microsoft azure|information engineering,4.4,Cloud Computing
Data Storage in Microsoft Azure,Financial aid available,11585,125,microsoft azure|data security|data processing|data storage,4.3,Data Science and Analytics
Introduction to Microsoft Azure Synapse Analytics,Financial aid available,6516,53,microsoft azure|data analysis|data warehousing|data architecture,3.9,Cloud Computing
Data Integration with Microsoft Azure Data Factory,Financial aid available,10326,111,microsoft azure|data integration|data pipelines,3.9,Cloud Computing
Data Warehousing Capstone Project,Financial aid available,0,0,"oltp databases|data warehousing|relational database|extraction, transformation and loading (etl)|data pipelines",0.0,Database Management
"ETL and Data Pipelines with Shell, Airflow and Kafka",Financial aid available,28582,227,apache airflow|apache kafka|data pipelines|extract transform and load (etl)|data engineer,4.5,Network Administration
Getting Started with Data Warehousing and BI Analytics,Financial aid available,15073,111,data warehousing|cube and rollup|business intelligence (bi)|star and snowflake schema|cognos analytics,4.3,Database Management
Hands-on Introduction to Linux Commands and Shell Scripting,Financial aid available,60903,825,linux|bash (unix shell)|extract transform and load (etl)|linux commands|shell script,4.6,Networking and Systems
Introduction to Relational Databases (RDBMS),Financial aid available,34146,403,database (db) design|database architecture|postgresql|mysql|relational database management system (rdbms),4.7,others
Data Warehousing with Microsoft Azure Synapse Analytics,Financial aid available,5425,38,microsoft azure|data warehousing|data security,3.9,Cloud Computing
SQL: A Practical Introduction for Querying Databases,Financial aid available,9035,123,"create, read, update and delete|data analysis|mysql|relational database management system (rdbms)|sql",4.7,Database Management
Go Beyond the Numbers: Translate Data into Insights,Financial aid available,17130,188,python programming|tableau software|data visualization (dataviz)|effective communication|exploratory data analysis,4.7,Data Science and Analytics
The Nuts and Bolts of Machine Learning,Financial aid available,12119,92,predictive modelling|machine learning|python programming|stack overflow|effective communication,4.8,Data Science and Analytics
Relational Database Administration (DBA),Financial aid available,14728,111,database (dbms)|database servers|relational database|database security|database administration,4.5,Networking and Systems
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7,Coaching and Leadership
Regression Analysis: Simplify Complex Data Relationships,Financial aid available,11983,112,predictive modelling|statistical analysis|python programming|effective communication|regression modeling,4.7,Data Science and Analytics
Get Started with Python,Financial aid available,29555,397,using comments to enhance code readability|python programming|jupyter notebook|data visualization (dataviz)|coding,4.8,others
